Disease	Best_silhouette
AdenomatousPolyps	2
AlagilleSyndrome	2
AmyotrophicLateralSclerosis	2
Asthma	5
Autism	2
BipolarDisorder	4
BorreliaBurdorferiInfection	2
BreastCancer	3
Cardiomyopathy	2
ChronicLymphocyticLeukemia	2
ChronicObstructivePulmonaryDisease	2
CoeliacDisease	2
ColorectalCancer	5
CrohnsDisease	2
DownsSyndrome	2
EosinophilicEsophagitis	2
FacioscapulohumeralDystrophy	5
FamilialDysautonomia	2
FamilialPulmonaryArterialHypertension	2
FriedreichsAtaxia	2
Glioblastoma	2
HIV	2
HuntingtonsDisease	2
HyperplasticPolyps	4
IdiopathicPulmonaryFibrosis	2
Ischemia	2
KaposisSarcoma	2
Keratoconus	2
LiverCancer	3
LungCancer	2
LymphocyticColitis	3
MultipleSclerosis	3
MuscularDystrophy	4
MyotonicDystrophy	2
ParkinsonsDisease	10
PosttraumaticStressDisorder	2
ProstateCancer	2
RheumatoidArthritis	2
Schizophrenia	2
SLE	2
Smoker	2
ThyroidCancer_Papillary	3
Ulcer	2
UlcerativeColitis	2
